module,SecId,dat1,dat2,dat3,dat4,dat5,dat6
19,2,83,81,80,79,78,0
19,2,76,75,74,73,72,0
19,2,71,70,69,67,66,0
19,2,65,64,63,62,61,0
19,2,60,59,58,57,56,0
19,2,55,54,53,52,51,0
19,2,50,49,49,49,49,0
19,2,51,54,57,63,70,2
19,2,77,85,94,102,111,7
19,2,119,127,134,141,148,11
19,2,154,159,163,166,167,13
19,2,167,166,165,162,159,13
19,2,155,151,147,142,137,10
19,2,132,127,122,117,111,7
19,2,106,101,97,94,91,4
19,2,90,89,89,90,91,4
19,2,92,94,96,97,98,5
19,2,98,98,98,97,96,5
19,2,95,94,93,92,91,0
19,2,89,88,87,85,84,0
19,2,83,81,80,79,78,0
19,2,76,75,74,73,72,0
19,2,71,70,69,67,66,0
19,2,65,64,63,62,61,0
19,3,0,0,75,96,0,0
19,2,60,59,58,57,56,0
19,2,55,54,53,52,51,0
19,2,50,49,49,49,49,0
19,2,51,54,57,63,70,2
19,2,77,85,94,102,111,7
19,2,119,127,134,141,148,11
19,2,154,159,163,166,167,13
19,2,167,166,165,162,159,13
19,2,155,151,147,142,137,10
19,2,132,127,122,117,111,7
19,2,106,101,97,94,91,4
19,2,90,89,89,90,91,4
19,2,92,94,96,97,98,5
19,2,98,98,98,97,96,5
19,2,95,94,93,92,91,0
19,2,89,88,87,85,84,0
19,2,83,81,80,79,78,0
19,2,76,75,74,73,72,0
19,2,71,70,69,67,66,0
19,2,65,64,63,62,61,0
19,2,60,59,58,57,56,0
19,2,55,54,53,52,51,0
19,2,50,49,49,49,49,0
19,2,51,54,57,63,70,2
19,2,77,85,94,102,111,7
19,3,0,0,75,96,0,0
19,2,119,127,134,141,148,11
19,2,154,159,163,166,167,13
19,2,167,166,165,162,159,13
19,2,155,151,147,142,137,10
19,2,132,127,122,117,111,7
19,2,106,101,97,94,91,4
19,2,90,89,89,90,91,4
19,2,92,94,96,97,98,5
19,2,98,98,98,97,96,5
19,2,95,94,93,92,91,0
19,2,89,88,87,85,84,0
19,2,83,81,80,79,78,0
19,2,76,75,74,73,72,0
19,2,71,70,69,67,66,0
19,2,65,64,63,62,61,0
19,2,60,59,58,57,56,0
19,2,55,54,53,52,51,0
19,2,50,49,49,49,49,0
19,2,51,54,57,63,70,2
19,2,77,85,94,102,111,7
19,2,119,127,134,141,148,11
19,2,154,159,163,166,167,13
19,2,167,166,165,162,159,13
19,2,155,151,147,142,137,10
19,2,132,127,122,117,111,7
19,3,0,0,75,96,0,0
19,2,106,101,97,94,91,4
19,2,90,89,89,90,91,4
19,2,92,94,96,97,98,5
19,2,98,98,98,97,96,5
19,2,95,94,93,92,91,0
19,2,89,88,87,85,84,0
19,2,83,81,80,79,78,0
